"id","homicide","terrorist_attack","threats","Enforced_disappearance","torture","sexual_violence","recruitment","detention","kidnapping","pillage","extortion","attack_against_civilians_population","dispossession_land","forced_displacement","armed_group"
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Other armed groups"
8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
20,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
37,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
39,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"Paramilitary groups"
45,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
47,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Paramilitary groups"
48,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Paramilitary groups"
49,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Paramilitary groups"
50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Paramilitary groups"
51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Paramilitary groups"
52,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
53,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Other armed groups"
54,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Other armed groups"
55,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"Other armed groups"
56,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"Other armed groups"
57,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Guerrilla groups"
63,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Paramilitary groups"
64,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Paramilitary groups"
65,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
66,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
67,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
73,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
74,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
77,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Guerrilla groups"
79,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Guerrilla groups"
80,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Guerrilla groups"
84,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"Other armed groups"
94,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"Guerrilla groups"
95,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
96,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
97,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
101,0,0,1,0,1,1,1,0,0,0,0,0,0,0,"Guerrilla groups"
103,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
104,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
105,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
106,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
107,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
108,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
109,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
142,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
145,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
148,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
149,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
165,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Paramilitary groups"
166,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"Paramilitary groups"
172,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Paramilitary groups"
173,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Paramilitary groups"
180,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Other armed groups"
206,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
209,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Other armed groups"
210,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Other armed groups"
211,1,0,0,0,1,0,0,0,1,0,0,0,0,0,"Guerrilla groups"
213,0,0,1,0,1,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
214,0,0,1,0,1,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
215,0,0,1,0,1,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
216,0,0,1,0,1,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
221,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
227,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
229,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Paramilitary groups"
236,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Other armed groups"
239,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Paramilitary groups"
242,0,0,1,0,0,1,1,0,0,0,0,0,0,0,"Other armed groups"
247,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"Other armed groups"
248,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"Other armed groups"
251,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Guerrilla groups"
252,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Guerrilla groups"
261,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Paramilitary groups"
262,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Paramilitary groups"
265,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Paramilitary groups"
266,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
267,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
268,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
269,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
270,0,0,1,0,1,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
273,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
280,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"Guerrilla groups"
282,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
283,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
284,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
297,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
300,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
311,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
