"k","deviance","pct_explained","elapsed"
0,73048.1948871193,0,0
1,67930.6159148973,7.00575692545189,27.3355100154877
2,64758.8796058528,11.3477345936828,23.6630508899689
3,62817.5765846551,14.0052992661535,64.8071050643921
4,61361.1117153175,15.9991402797314,33.0320820808411
5,60001.2049054165,17.8607972474394,36.4986519813538
6,58923.2902457283,19.336418460741,35.1761481761932
7,57872.7053721058,20.774626311388,28.2432129383087
8,56904.9095881982,22.0994992742355,14.749342918396
9,56015.3479248243,23.3172729163474,17.3496928215027
10,55268.3324696253,24.3399066122975,13.6910059452057
11,54606.6349985557,25.2457434671194,20.5159451961517
12,53977.3057590758,26.107269532825,18.6576240062714
13,53388.3160886628,26.9135723734675,16.7955451011658
