"rep","mechanism","rate","realized_missing_pct","imp_sensitivity","imp_specificity","imp_accuracy","rmse_theta","rmse_P","rmse_mu","iterations","elapsed_sec"
1,"MCAR",0,0,NA,NA,NA,0.591526378348347,0.0801887259862419,0.0743509103056428,8,7.71450400352478
2,"MCAR",0,0,NA,NA,NA,0.604618237485068,0.0814025038057235,0.11581828103591,8,2.15210390090942
3,"MCAR",0,0,NA,NA,NA,0.590545613704263,0.0793812314137656,0.114156924181955,10,1.87338399887085
4,"MCAR",0,0,NA,NA,NA,0.598381307271113,0.0807178022010826,0.0935461518560298,8,1.25237917900085
5,"MCAR",0,0,NA,NA,NA,0.609159938809233,0.0809963882467729,0.132277006263615,8,0.877466917037964
6,"MCAR",0,0,NA,NA,NA,0.603018541924177,0.0812922701014088,0.102558701528845,9,2.20045804977417
7,"MCAR",0,0,NA,NA,NA,0.598674144512245,0.080652234945568,0.112870501481698,8,1.65783190727234
8,"MCAR",0,0,NA,NA,NA,0.607323844145619,0.0815475934414043,0.119245738020156,9,2.2979998588562
9,"MCAR",0,0,NA,NA,NA,0.599112667864566,0.0800168452076589,0.129840215341454,7,1.56774878501892
10,"MCAR",0,0,NA,NA,NA,0.588600906954467,0.0789105837841003,0.121045370579274,7,1.64672684669495
1,"MCAR",0.1,9.825,0,100,84.0058160668848,0.606900302375547,0.0817233785114325,0.115453672935078,14,2.72567200660706
2,"MCAR",0.1,9.82857142857143,0,100,84.5203488372093,0.597716659666853,0.0807134536455119,0.0970031579615798,14,2.22204518318176
3,"MCAR",0.1,10.2535714285714,0,100,82.9327760362243,0.597111840317917,0.0809164413463597,0.0880965040870011,37,5.65115690231323
4,"MCAR",0.1,10.0285714285714,0,100,83.4401709401709,0.590052904574609,0.0800984964536615,0.105014163093,13,2.77151799201965
5,"MCAR",0.1,10.1392857142857,0,100,84.5720324057767,0.599482699301373,0.08124585688725,0.116731600486097,14,2.97241401672363
6,"MCAR",0.1,9.77857142857143,0,100,82.9072315558802,0.602155541233465,0.0804178209460926,0.126057290015422,12,2.39716506004333
7,"MCAR",0.1,9.82142857142857,0,100,83.1636363636364,0.600315700365316,0.0804862370912801,0.1135302016838,13,3.03213596343994
8,"MCAR",0.1,10.0607142857143,0,100,84.2030528931488,0.604834749111234,0.0808316498851903,0.130871343187259,13,2.69986891746521
9,"MCAR",0.1,10.0857142857143,0,100,83.3923512747875,0.6128739328078,0.0829815659796227,0.109100069775451,24,1.86441802978516
10,"MCAR",0.1,9.86785714285714,0,100,83.2790445168295,0.601112684297417,0.0812184202299468,0.0982859503255815,14,1.50076603889465
1,"MAR",0.1,9.82857142857143,0,100,77.9069767441861,0.587873051569006,0.0808357161377441,0.0685073978272658,14,1.34653782844543
2,"MAR",0.1,9.89285714285714,0,100,78.2671480144404,0.592260997455743,0.0805213413917213,0.089140925156292,14,1.79933094978333
3,"MAR",0.1,9.78214285714286,0,100,77.9116465863454,0.599198430859496,0.0821355529651945,0.0365006732015139,14,1.32572889328003
4,"MAR",0.1,9.99285714285714,0,100,78.0200142959257,0.585957529396191,0.0788229148095788,0.0878353613589676,14,1.58288097381592
5,"MAR",0.1,9.95,0,100,79.6482412060301,0.605270300767022,0.0823573730332312,0.08824677016441,37,2.57208800315857
6,"MAR",0.1,10.0964285714286,0,100,78.3869826671383,0.595567466214958,0.0811833064926904,0.0740611579506149,16,1.26333689689636
7,"MAR",0.1,10.0285714285714,0,100,77.5997150997151,0.603788486074683,0.0827091044504065,0.077028189043604,16,1.43720102310181
8,"MAR",0.1,9.85714285714286,0,100,77.7173913043478,0.593416629696243,0.0811002415561713,0.067526830394588,27,1.94678282737732
9,"MAR",0.1,9.90714285714286,0,100,78.1542898341745,0.599301525987841,0.0819929772298561,0.055798803860942,15,1.65864992141724
10,"MAR",0.1,10.1714285714286,0,100,76.123595505618,0.594060283434149,0.081031369351866,0.0597845816974589,15,1.50574898719788
1,"MCAR",0.3,30.025,0,100,84.3582728678482,0.594118055803449,0.0797385888477237,0.103002852094894,20,2.06336998939514
2,"MCAR",0.3,30.2678571428571,0,100,83.7286135693215,0.607524458970146,0.0830057444471616,0.0901307728146193,32,2.47722601890564
3,"MCAR",0.3,29.7,0,100,83.5497835497836,0.595136932012631,0.0807119891621945,0.0860095750883067,20,2.74835586547852
4,"MCAR",0.3,29.4892857142857,0,100,83.7471236526583,0.60604815201925,0.0816268326143208,0.0971410229849585,20,2.12477707862854
5,"MCAR",0.3,30.0714285714286,0,100,83.1235154394299,0.60624943204923,0.0821866158256759,0.0979622592575156,20,2.17046594619751
6,"MCAR",0.3,29.6071428571429,0,100,83.3534378769602,0.607388892387663,0.0819034898340902,0.0873194921228584,22,2.23748922348022
7,"MCAR",0.3,29.8,0,100,83.2694151486098,0.615871249081747,0.0835877858862697,0.114010971445256,22,2.88137888908386
8,"MCAR",0.3,29.6607142857143,0,100,83.5279951836243,0.60842961389595,0.0819821695674898,0.0914571939011928,20,2.35546517372131
9,"MCAR",0.3,30.2178571428571,0,100,83.311665287791,0.603529524874592,0.0818141854034494,0.111982922219375,20,2.53990507125854
10,"MCAR",0.3,29.9714285714286,0,100,83.2221163012393,0.611492325357463,0.0818421408395292,0.123266538648118,21,2.75671887397766
1,"MAR",0.3,29.675,0,100,77.5544590203394,0.614281836319009,0.0862468126964443,0.152024003628669,25,2.47637319564819
2,"MAR",0.3,29.8428571428571,0,100,77.6448061273337,0.607177220384866,0.0847948688653205,0.157339985378263,24,2.47941303253174
3,"MAR",0.3,30.4142857142857,0,100,77.9004227336778,0.599958199227865,0.0844713432036673,0.125142785318896,24,1.96793007850647
4,"MAR",0.3,29.9285714285714,0,100,77.8042959427208,0.617364053141205,0.086343243864952,0.153049494596653,28,2.26490902900696
5,"MAR",0.3,29.9892857142857,0,100,78.0874121710135,0.617159909800996,0.0871878471569225,0.11598502579547,24,1.8253710269928
6,"MAR",0.3,29.5821428571429,0,100,78.6671495834842,0.605233483387778,0.0844153685663731,0.104339605546764,23,1.51322293281555
7,"MAR",0.3,29.7642857142857,0,100,78.173746100312,0.61825892459294,0.0867330450167202,0.12370083633645,28,1.74056601524353
8,"MAR",0.3,29.5142857142857,0,100,78.5939012584705,0.613105761391984,0.0858099802185348,0.0923552045347413,23,2.15175795555115
9,"MAR",0.3,30.1214285714286,0,100,78.0531183305667,0.616797867668169,0.0865633152719389,0.126196300142624,23,1.95261907577515
10,"MAR",0.3,30.0571428571429,0,100,78.5171102661597,0.609328333985888,0.0854240833564792,0.125196912599196,23,1.56753587722778
